issue,github,phase,status,priority,blocking,activation,contract_sha256,review_notes
ISSUE-0168,447,phase-05-returns-risk-portfolio,planned,P1,ISSUE-0108 ISSUE-0109 ISSUE-0110 ISSUE-0111 ISSUE-0115 ISSUE-0127 ISSUE-0161,,13de3d528a8f605e103c45cc1be7dfcebc3529612c32e84161912aee0d1ebb0c,SOURCE DEFECT: portfolio forecast mislabelled bulk-screening by numeric capability range; reviewed correction remains open.
ISSUE-0169,448,phase-09-quality-release-security,planned,P0,ISSUE-0074 ISSUE-0136 ISSUE-0142 ISSUE-0152 ISSUE-0161 ISSUE-0165 ISSUE-0167,,42fb54476bb2262fa417c133ac9074d02204a8d056af65a5e772956fe31c7ec3,1 normative amendment(s) remain binding on issue card. SOURCE DEFECT: downstream certification 0152 incorrectly parsed as blocker despite parity-before-certification contract. Guarded migration remains open.
ISSUE-0170,449,phase-02-data-policy-identity,planned,P0,ISSUE-0076 ISSUE-0082 ISSUE-0083 ISSUE-0085 ISSUE-0149,,9fb221182d77166912b6f064467d143b8654933289257fb807574a9b1662cae1,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0171,450,phase-02-data-policy-identity,planned,P0,ISSUE-0076 ISSUE-0080 ISSUE-0081 ISSUE-0149 ISSUE-0170 ISSUE-0176,,91185c13f32a0c1abec80292dc94d291518abe58738110f315d5b6dd2de72e04,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0172,451,phase-04-etf-research,planned,P0,ISSUE-0074 ISSUE-0098 ISSUE-0105 ISSUE-0108 ISSUE-0109 ISSUE-0112 ISSUE-0120 ISSUE-0123 ISSUE-0128 ISSUE-0170 ISSUE-0171 ISSUE-0173 ISSUE-0174 ISSUE-0175,,49212ea810131e73a6115a79ec91a1b7427395a78b149ece629cf8edb2406d26,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0173,452,phase-05-returns-risk-portfolio,planned,P0,ISSUE-0076 ISSUE-0084 ISSUE-0088 ISSUE-0089 ISSUE-0149 ISSUE-0176,,6c2f7833ec0b4b549df40f4347877d9c0d5a12fdbfce29cf7a9f847e34871274,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0174,453,phase-05-returns-risk-portfolio,planned,P0,ISSUE-0074 ISSUE-0108 ISSUE-0109 ISSUE-0110 ISSUE-0111 ISSUE-0112 ISSUE-0123 ISSUE-0128 ISSUE-0173,,e1b2a8a702ed787853ec541a02422c867e13b7d9981ff3be581b28c44f70b805,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0175,454,phase-08-frontend-api,planned,P0,ISSUE-0039 ISSUE-0077 ISSUE-0078 ISSUE-0121 ISSUE-0151 ISSUE-0165,,558126dc3518ef3ed6f0c1d10aca30d7f756793bcd7dab374b65350d88d68dd1,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0176,455,phase-09-quality-release-security,planned,P0,ISSUE-0037 ISSUE-0076 ISSUE-0080 ISSUE-0144 ISSUE-0145 ISSUE-0146 ISSUE-0149,,d4e94d4116a660f8fafa6e188c3c4a794e9776f945bc9903048309bf595b1e55,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0181,583,phase-02-data-policy-identity,planned,P1,ISSUE-0080 ISSUE-0081,,95b49c643108decc526c46d28aeffcf00ae8f419c73fdff9f930a498062b32df,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
UPDATEV2-0020,160,phase-01-governance-scope,planned,P1,,,e57cf0c73dc8a8f9942f95b82b85c4fc272fc9dec1a3d1f90fcdea7e5aba6820,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
UPDATEV2-0023,163,phase-02-data-policy-identity,planned,P1,,,9c9547f09fb427f0ffb964798c7e6313bcddc7048a03c8442e6252b49a10c04a,"Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Optional keyed/provider evidence; offline conformance and explicit unavailable states, not fabricated live data."
UPDATEV2-0024,164,phase-01-governance-scope,planned,P2,,,16d7719e353339780e67aa96e336fa72cb88b0a02740668bb3bd294fe2699548,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Optional/research provider constraints remain binding; no required personal keys or silent network authority.
UPDATEV2-0025,165,phase-01-governance-scope,planned,P2,,,2fbafcacf4ab7709f3cce46cf98510ef872c46bb72da0325cea834110faa8bc5,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Optional/research provider constraints remain binding; no required personal keys or silent network authority.
UPDATEV2-0026,166,phase-05-returns-risk-portfolio,planned,P1,,,3d638f340f3d6e74a8128d2c99338af4aab99938fea3761858847d44f7748b1b,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
UPDATEV2-0027,167,phase-08-frontend-api,in_progress,P0,,,9701ef273801ad5ac25aafbed3aab47328e4f5839765d01258a517bdf709a8e6,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
UPDATEV2-0030,170,phase-02-data-policy-identity,planned,P2,,,1649561bc8618e3593113cae122e5f7842a16ce4a02e8f7be6a6bbeacf394501,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Provider/authentication eligibility remains separate from product correctness; unsupported evidence stays explicit.
