issue_id,title,status,priority,current_gap,required_change,why,dependencies,completion_evidence,free_no_quota_policy
ISSUE-0061,Pair-trading/cointegration research-only module,"Open, research-only",P3,It remains outside the long-only stock/ETF objective and would require shorting/borrow data.,"Keep research-only; if implemented later, require point-in-time pair selection, stationarity breaks, borrow, costs and multiple-testing controls.",Cointegration can be unstable and is not needed to finish the stated long-term product.,ISSUE-0120; ISSUE-0128,Completion means a bounded specification and enforced exclusion from default scoring/order authority.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0062,Triple-barrier and purged-CV research-only module,"Open, research-only",P3,"Purged/embargoed validation is useful generally, while triple-barrier labels remain optional and potentially overcomplicated.","Promote leakage-safe validation into ISSUE-0120; keep triple-barrier labels optional with minimum sample, stability and transparent parameter rules.",Complex labels can create hidden trials and overlap leakage without improving long-horizon return forecasts.,ISSUE-0119; ISSUE-0120,General validation is production-ready and optional labels cannot silently replace declared horizon targets.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0063,Close-based quality-momentum next-open template hardening,Open,P1,The template is not yet based on canonical point-in-time quality factors and full execution/capacity evidence.,"Rebuild it on official fundamentals, sector-neutral quality, canonical momentum, next-session order simulation, costs, capacity and forward paper evidence.","It is a useful transparent reference strategy, but must beat quality-only, momentum-only and equal-weight baselines after costs.",ISSUE-0092; ISSUE-0098; ISSUE-0125; ISSUE-0129,Untouched-test and forward-paper gates pass with complete assumptions and trial history.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0064,Friction-adjusted return estimate per evidence score,Implementation complete; closure pending,P1,Current expected edge is partly derived from score/technical terms rather than a horizon-specific return model.,Replace score-to-edge mapping with the expected-return distribution and order-size cost model; preserve the old fields only as migration output.,"A 0–10 evidence score is ordinal support, not a calibrated percentage return.",ISSUE-0108; ISSUE-0128,"Displayed and optimiser-used gross/net returns share one calculation, uncertainty and cost lineage.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0065,Payoff-profile classification and risk/reward asymmetry display,Open,P2,Current labels rely on limited period-return summaries.,"Use trade and period distributions, skew/tails, regime stability, confidence intervals and minimum samples. Keep labels descriptive only.","Hit rate and payoff mean different things for trend, value and rebalance strategies.",ISSUE-0049; ISSUE-0111; ISSUE-0125,Insufficient samples remain unavailable and classifications are stable/reproducible.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0066,Source-of-truth and reconciliation architecture for future execution,Open,P2,The architecture is documented but not implemented and assumes future-only execution.,"After the scope ADR, implement canonical order/fill ledgers, broker read-only sync, idempotency, partial-fill/cancel handling, reconciliation and incident recovery before submission.","Paper, local and broker states inevitably diverge; the broker account must remain operational truth.",ISSUE-0070; ISSUE-0127; ISSUE-0131; ISSUE-0135,Read-only reconciliation is proven and no order can be sent while state is unknown or divergent.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0068,Two-tier universe manager and provider policy editor,Implementation complete; closure pending,P0/P1,"Rigid primary/secondary tiers do not express final capability, coverage and authority policies.","Generalise to data/analysis policy profiles with coverage, classification confidence and dependency plans while keeping compatibility with current tiers.","Instruments need different provider, document, model and order capabilities, not merely two importance classes.",ISSUE-0076; ISSUE-0080; ISSUE-0082; ISSUE-0083,Saving changes creates an explicit backfill/invalidation plan and never implicitly analyses or trades.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0011,Symbol/ISIN/exchange identity resolver,"Open, partial",P0,"Listing identity is incomplete for entities, funds, share classes, historical aliases and corporate events.","Absorb into the identity master: entity/security/fund/share-class/listing separation, CIK/LEI/ISIN/MIC/ticker mappings, valid dates, confidence and review.","Ticker-only joins cause provider conflicts, incorrect histories and potentially wrong orders.",ISSUE-0082; ISSUE-0083,All source rows resolve or remain explicitly quarantined; historical identifiers remain reproducible.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0012,SEC EDGAR official statement importer,Implementation complete; closure pending,P0,"The importer needs final live/bulk, clean-first-run and normalised-statement integration evidence.","Prefer nightly submissions/companyfacts bulk ZIPs, retain raw filings/amendments and availability time, support resumable increments and connect to canonical statements.","SEC is an official no-key source, but fair-access and point-in-time correctness still matter.",ISSUE-0081; ISSUE-0073; ISSUE-0091,Real bulk/parser/identity/audit/package evidence passes under SEC access policy.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0014,France DILA and Netherlands AFM OAM discovery adapters,Open,P1,Two bespoke adapters will not scale across supported European jurisdictions.,"Create a country/regulator adapter framework with source snapshots, coverage, terms, retries, manual fallback and no prohibited scraping.",Official European filing discovery is fragmented before a complete single access point.,ISSUE-0087; ISSUE-0076,"Each adapter has real fixtures, declared coverage, legal status and explicit unavailable behaviour.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0015,ETF disclosure registry,Implementation complete; closure pending,P0,"The registry is not yet the canonical, versioned source for all fund/share-class documents.","Store document type, fund/share class, effective/publication date, source, checksum, supersession, extraction state and parser version.",Every ETF-derived structural or cost metric needs a durable document source.,ISSUE-0103; ISSUE-0104; ISSUE-0090,No document-derived value exists without registry provenance and release evidence.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0016,ETF holdings normaliser,Implementation complete; closure pending,P0,"Normalisation does not yet cover nested funds, derivatives, cash, shorts, currencies and historical snapshots completely.","Resolve holdings to canonical IDs; retain unresolved weights; handle nested/cyclic structures, cash/derivatives and history.",Look-through risk and valuation are invalid if unknown weights are silently renormalised away.,ISSUE-0082; ISSUE-0105,Holdings reconcile within tolerance with resolved/unresolved coverage and dated source evidence.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0017,PRIIPs KID parser,Implementation complete; closure pending,P1,Parser coverage across languages/templates and table confidence remains incomplete.,"Add versioned template/language plugins, page-level evidence, risk/scenario/cost/holding-period fields and human-review queues without inventing values.",KIDs contain useful retail product evidence but PDF extraction is brittle.,ISSUE-0103; ISSUE-0104,"Real issuer fixtures, mutation tests, source pages and strict unavailable states pass.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0018,"ETF prospectus, annual and half-year report parser",Open,P1,The final fund-report extraction workflow is absent.,"Use the disclosure registry, bounded parsers, page-level provenance, language/template plugins and human verification; prioritise structured fields over broad generative extraction.","These reports contain legal structure, holdings, lending, collateral, costs and operational risks unavailable from price feeds.",UPDATEV2-0015; ISSUE-0104,"Every extracted field has source page, date, confidence and explicit unavailable state.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0019,Index methodology importer,Implementation complete; closure pending,P1,Imported documents are not fully converted into versioned benchmark rule evidence.,"Extract eligibility, universe, weighting, caps, rebalance, corporate-action and governance rules; simulate only complete methodologies.","ETF behaviour and turnover depend on benchmark construction, not only current holdings.",ISSUE-0105; ISSUE-0112,Methodology evidence links to holdings/exposure and incomplete rules cannot be simulated as facts.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0020,SFDR disclosure parser,Open,P1,Sustainability disclosures are not yet parsed and conflicted over time.,"Store dated Article/PAI/methodology claims, source pages, conflicts and greenwashing warnings; keep all sustainability labels context-only for expected return.","Disclosure categories describe mandate and reporting, not proven alpha.",UPDATEV2-0015; ISSUE-0104; ISSUE-0149,Every claim is dated/source-linked and cannot directly change an order or expected-return model.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0021,Source conflict resolver and canonical metric selector,"Open, partial",P0,"Conflict selection is not yet complete for period, unit, currency, restatement and metric-specific authority.","Implement deterministic arbitration with candidate retention, authority, date/context matching, tolerances, quarantine and human resolution.",Multiple providers and filings will disagree; silently choosing the latest or non-null value is unsafe.,ISSUE-0073; ISSUE-0089; ISSUE-0090,"Every canonical value retains all candidates, decision rule, conflict state and reproducible resolution.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0023,FMP optional provider adapter,Open,P1,It is a keyed vendor and conflicts with the mandatory no-quota requirement.,"Keep as an optional enrichment/verification plugin with licence, quota, cache and authority metadata. Exclude it from release completion and mandatory scoring.","Vendor fundamentals can improve coverage but cannot be assumed free, unlimited or official.",ISSUE-0076; ISSUE-0080,Core outputs remain usable when absent; vendor values never silently override official evidence.,"Optional only; no paid/keyed FMP capability may be required by tests, scoring or release certification."
UPDATEV2-0024,Alpha Vantage verification/fallback adapter,Open,P2,The small keyed call budget is unsuitable for broad mandatory refresh.,"Keep selected-ticker verification only, with explicit daily budget, cache replay and quota-exhausted state.",A limited vendor source may catch discrepancies but cannot provide an unrestricted universe backbone.,ISSUE-0076; ISSUE-0080,Absence or quota exhaustion affects only optional verification and never corrupts canonical data.,Optional only; the mandatory app must work with no Alpha Vantage key or calls.
UPDATEV2-0025,Finnhub experimental adapter with entitlement probes,Open,P2,Entitlement and historical availability cannot be assumed.,"Keep disabled experimental plugin, probe every capability, preserve terms/secret controls and exclude it from score/release authority.",Current-only or inaccessible vendor data can create historical leakage and brittle dependencies.,ISSUE-0076; ISSUE-0080,"No data enter historical analysis without proven entitlement, time coverage and point-in-time metadata.",Optional experimental only; it is never a release blocker or mandatory source.
UPDATEV2-0026,Candle feature/context/backtest module,Open,P1,Named candle-pattern logic risks overfitting and ambiguous OHLC execution paths.,Prefer continuous OHLCV/gap/range features with bar-quality validation and low authority; retain score caps and explicit path ambiguity.,Candles can aid context and execution analysis but have weak standalone evidence for long-term decisions.,ISSUE-0084; ISSUE-0125; ISSUE-0128,"Candle evidence remains capped, source-linked and incapable of directly generating an order.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0027,UI workflow/button reliability and progress indicators,"Open, partial",P0,It duplicates foundation issues and is not backed by final typed commands/jobs.,"Merge implementation with the action inventory, API/view models and durable job system; cover training, paper and operations controls.","Reliability must come from command contracts and persisted state, not page-specific callbacks.",ISSUE-0011; ISSUE-0012; ISSUE-0077; ISSUE-0136,"Generated inventory, command tests, idempotency and packaged E2E evidence pass.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0029,Rebuild/test/update discipline automation,Open,P0,"Finish-check automation does not yet constitute a protected, hermetic release pipeline.","Implement CI, environment locks, closure manifests, signed artefacts, SBOM, issue-state reconciliation and protected promotion.",Release discipline must be machine-enforced across all features.,ISSUE-0141; ISSUE-0145; ISSUE-0152,Closure recommendation is produced only by passing machine-verifiable gates.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
UPDATEV2-0030,"Optional OHLCV fallback providers: Stooq, Twelve Data and Tiingo",Open,P2,The grouped issue mixes a best-effort public source with keyed commercial services.,Split policy: Stooq best-effort cached fallback where terms/coverage permit; Twelve Data/Tiingo optional keyed plugins; user/broker files are the quota-independent fallback.,"No remote market source can be guaranteed unlimited, and fallback disagreements must not overwrite authority.",ISSUE-0080; ISSUE-0086; ISSUE-0089,"All outputs are normalised, discrepancy-audited and optional-provider absence does not block core completion.",Only local/user-owned files are guaranteed quota-independent; all remote sources are cached and optional by policy.
