issue_id,title,epic,priority,evidence_grade,problem,why,implementation,data_and_dependencies,acceptance_criteria,tests_required,ui_requirement,security_and_audit,dependencies,free_no_quota_policy
ISSUE-0095,"Add growth, revisions, guidance and earnings-surprise evidence with optional imports",Stock analysis,P1,Moderate/Low,"Revenue/EPS growth and estimate revisions are weakly covered, while free global point-in-time analyst consensus is unavailable.","Long- and medium-horizon analysis benefit from separating realised growth, management guidance and external expectations.","- Calculate reported revenue, operating profit, EPS, free-cash-flow and per-share growth with base-effect and acquisition flags.
- Parse official guidance only when structured or human-reviewed.
- Support user/broker-licensed consensus and estimate imports as optional data.
- Record revision dispersion, surprise and staleness where lawful history exists.
- Never use current Yahoo analyst fields in historical tests without point-in-time records.",- ISSUE-0091; ISSUE-0086; ISSUE-0073.,"- Core growth analysis works without analyst data.
- Consensus/revision fields remain N/A unless point-in-time imports exist.
- Organic/inorganic and per-share/aggregate distinctions are visible.
- Guidance extraction has source and review status.","- Growth formula tests.
- Base-effect/restatement tests.
- Optional-data-disabled tests.
- Historical leakage tests.","Growth & Expectations panel with separate reported, guidance and optional consensus sections.",Analyst-data licences and user ownership are recorded; restricted services are not scraped.,ISSUE-0091,Core reported-growth functionality is quota-independent. Analyst consensus is optional user-supplied evidence only.
ISSUE-0096,"Implement relative valuation, intrinsic-value scenarios, reverse DCF and residual-income models",Stock analysis,P0/P1,Moderate,Simple P/E and price/book thresholds cannot estimate long-term return or accommodate different business models.,Valuation must show the assumptions required to justify the market price and the range of plausible outcomes.,"- Implement sector-applicable EV/sales, EV/EBITDA, earnings, cash-flow, book and dividend measures.
- Build multi-stage DCF/FCFE, reverse DCF and residual-income models with explicit inputs.
- Use normalised margins/growth, capital needs, dilution, terminal assumptions and currency/risk-free inputs.
- Generate bull/base/bear and Monte Carlo or deterministic sensitivity grids.
- Separate reported facts, derived assumptions and user overrides.",- ISSUE-0091–ISSUE-0095; ISSUE-0088; ISSUE-0108.,"- Models fail closed when essential inputs are unavailable.
- Every output reconciles to displayed assumptions and cash flows.
- Sensitivity and model disagreement are visible.
- No single fair-value point is presented without a range and confidence.","- Valuation identity tests.
- Known-model fixtures.
- Sensitivity monotonicity tests.
- Sector-applicability tests.","Valuation Lab with assumptions, reverse-implied expectations and distributions.",Overrides/model versions are audited; no guaranteed fair-value language.,ISSUE-0091; ISSUE-0088,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0097,"Add capital efficiency, reinvestment, intangible investment and business-quality proxies",Stock analysis,P1,Moderate,ROE can be inflated by leverage and accounting treatment; intangible-intensive firms are poorly represented by book assets.,Long-term compounding depends on incremental returns and durable reinvestment opportunities.,"- Calculate ROIC, incremental ROIC, reinvestment rate, sales-to-capital, asset turns and economic-profit spreads.
- Provide optional transparent capitalisation of selected R&D/advertising costs with sensitivity.
- Track customer/supplier concentration and recurring revenue only from reliable disclosures.
- Estimate moat proxies through persistence rather than unsupported qualitative labels.
- Use multi-year and sector-relative analysis.",- ISSUE-0091; ISSUE-0092; ISSUE-0098.,"- Reported and adjusted metrics are always separate.
- Incremental measures enforce minimum history and stable denominators.
- Business-quality proxies expose data coverage and cannot override valuation/risk alone.
- Assumption sensitivity is exportable.","- Formula/history tests.
- Intangible-adjustment tests.
- Outlier/denominator tests.
- Sector tests.",Capital Efficiency panel with reported/adjusted toggle and persistence charts.,Derived qualitative proxies require source evidence and cannot be stated as facts.,ISSUE-0091; ISSUE-0092,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0098,Create the stock sector-adapter and peer-cohort framework,Stock analysis,P0,High,"One formula set cannot treat banks, REITs, software and miners correctly.",Institutional-style analysis uses common foundations plus sector-specific economics and peer comparisons.,"- Define an adapter contract for metrics, exclusions, transformations, weights, risk checks and valuation methods.
- Build peer cohorts by country, currency, size, sector and business subtype with minimum samples.
- Use robust ranks/winsorisation and record peer membership as-of date.
- Support fallback to a broad stock model with reduced confidence.
- Version adapters and peer rules.","- ISSUE-0083 classification.
- ISSUE-0074 score engine.
- ISSUE-0091 statements.","- Every stock selects exactly one primary adapter or explicit fallback.
- Peer cohort and sample size are visible and historically reproducible.
- Adapter changes invalidate dependent scores.
- No sector-inapplicable metric contributes.","- Adapter conformance tests.
- Peer stability tests.
- Small-cohort tests.
- Historical-membership tests.","Instrument page shows adapter, peer cohort and excluded metrics.",Manual adapter overrides are audited; proprietary taxonomy content is not required.,ISSUE-0083; ISSUE-0074,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0099,"Implement bank, insurer and diversified-financial sector adapters",Stock analysis,P0/P1,Moderate,"Financial institutions have leverage, liquidity and accounting structures that make industrial-company ratios misleading.","Banks and insurers require solvency, asset quality, underwriting and funding metrics.","- Banks: CET1/total capital where disclosed, tangible book, NIM, cost/income, loan growth, deposits, NPLs, provisions and liquidity.
- Insurers: combined/loss/expense ratios, solvency capital, reserves, premium growth, investment yield and reinsurance exposure.
- Diversified financials: funding, credit losses, capital and fee/interest mix.
- Use regulatory filings or manual official imports where available.
- Create financial-sector valuation and stress models.",- ISSUE-0098; official filings; optional national regulatory imports.,"- Industrial leverage/FCF rules are excluded.
- Regulatory metrics show source and reporting standard.
- Stress tests cover credit loss, funding and market shocks.
- Missing regulatory data lowers confidence and blocks high-authority labels.","- Sector fixture tests.
- Accounting/unit tests.
- Stress tests.
- Cross-jurisdiction availability tests.",Financial Institutions section with solvency and asset-quality history.,No inferred regulatory ratio is represented as filed; jurisdiction limitations are disclosed.,ISSUE-0098,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0100,"Implement REIT, utility and infrastructure sector adapters",Stock analysis,P1,Moderate,Conventional earnings and free-cash-flow metrics can misrepresent property and regulated/infrastructure businesses.,"Long-duration assets require asset value, contractual cash flow, leverage and regulatory analysis.","- REITs: FFO/AFFO where reported or safely derivable, NAV sensitivity, occupancy, lease maturity, LTV and interest cover.
- Utilities/infrastructure: regulated asset base, allowed returns, capex funding, leverage, coverage and tariff/regulatory exposure.
- Model inflation, rate and refinancing scenarios.
- Separate maintenance and expansion capital assumptions.
- Provide sector-specific valuation and payout tests.",- ISSUE-0098; ISSUE-0091; ISSUE-0115.,"- Sector-specific cash-flow definitions and assumptions are explicit.
- NAV/RAB remains unavailable without reliable inputs.
- Rate/inflation stress effects are visible.
- Payout and leverage checks reconcile to statements.","- Sector formula fixtures.
- Scenario tests.
- Missing-NAV/RAB tests.
- Payout reconciliation tests.",Real Assets panels with lease/regulatory and rate sensitivity.,Derived FFO/AFFO/NAV values are labelled and source-linked.,ISSUE-0098,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0101,"Implement energy, materials and industrial cyclical-sector adapters",Stock analysis,P1,Moderate,Point-in-time margins and valuation can be misleading near commodity and industrial cycle peaks or troughs.,Long-term analysis must normalise through cycles and connect operational drivers to balance-sheet resilience.,"- Energy/mining: production, unit costs, reserves/resource life, realised prices, hedges, sustaining capex and decommissioning.
- Industrials: order book, book-to-bill, backlog quality, aftermarket mix, utilisation and working capital.
- Use multi-cycle normalised margins and commodity/input scenarios.
- Track customer/project concentration and capital intensity where disclosed.
- Add cycle-sensitive valuation and distress checks.",- ISSUE-0098; ISSUE-0115; official commodity/macro series where available.,"- Normalised and spot-cycle metrics are separate.
- Operational metrics are N/A unless source-linked.
- Commodity/rate scenarios show portfolio impact.
- Adapters require adequate cycle history or reduce confidence.","- Cycle fixtures.
- Unit/commodity mapping tests.
- Scenario tests.
- Insufficient-history tests.","Cyclicals panel with drivers, cost and scenario history.",No reserve/resource or backlog claim without official issuer evidence.,ISSUE-0098,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0102,"Implement software, semiconductor, healthcare and biotechnology adapters",Stock analysis,P1,Moderate/Low,"Innovation and regulated sectors rely on intangibles, product cycles, concentration and binary risks not captured by generic ratios.","Long-term quality and downside depend on recurring economics, R&D productivity, patents, pipeline and funding.","- Software: recurring revenue, retention when disclosed, gross margin, FCF, stock compensation and dilution.
- Semiconductors: inventory, utilisation, capex, gross margin, customer/end-market concentration and cycle.
- Healthcare/pharma: product concentration, patent/exclusivity, R&D and reimbursement.
- Biotech: cash runway, pipeline stage, trial/regulatory milestones and dilution; keep outcome probabilities low authority.
- Use only official filings/registries/manual evidence and explicit missing states.",- ISSUE-0098; ISSUE-0024 event model; ISSUE-0094 dilution.,"- Binary-event risk is not converted into precise probabilities without validated data.
- Cash runway and dilution reconcile.
- Recurring/pipeline metrics carry source and date.
- Generic valuation is replaced or confidence-capped where inapplicable.","- Sector fixtures.
- Runway/dilution tests.
- Event-timing tests.
- Missing-disclosure tests.",Innovation/Healthcare panels with milestone and concentration timelines.,"Medical/regulatory content is contextual, source-linked and not clinical advice.",ISSUE-0098,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0103,"Implement ETF economics, fee, tracking and closure-quality analysis",ETF analysis,P0/P1,Moderate,ETF analysis lacks complete fund-level economics and persistence measures.,"Long-term ETF outcomes depend on realised tracking, fees, scale, age and operational viability.","- Store TER/OCF, tracking difference/error, assets, flows where available, fund age, share-class structure, distributions and benchmark.
- Calculate realised tracking from point-in-time benchmark and total-return series.
- Model closure/merger risk from transparent proxies such as age, assets and flows, with uncertainty.
- Separate fund-level and share-class metrics.
- Track fee and document changes over time.","- UPDATEV2-0015/0017/0019.
- ISSUE-0084 total returns.
- Issuer/user imports.","- Tracking metrics state benchmark, currency, horizon and coverage.
- Fee changes and share-class differences are historical.
- Closure risk is labelled as a proxy/model rather than a fact.
- Missing AUM/flow data do not become zero.","- Tracking reconciliation tests.
- Share-class tests.
- Fee-version tests.
- Missing-benchmark tests.",ETF Economics panel with cost and tracking history.,Issuer documents and model assumptions are retained; no commercial AUM feed is mandatory.,UPDATEV2-0015; ISSUE-0084,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0104,"Implement ETF structural, legal, counterparty, lending and collateral risk analysis",ETF analysis,P0/P1,Moderate,"Physical/synthetic replication, derivatives, securities lending and collateral risks are not fully represented.",Two ETFs with similar exposure can have materially different structural risks.,"- Parse replication method, derivatives, counterparties, collateral, lending policy/revenue split, domicile, legal form and concentration limits.
- Build transparent risk flags and document conflicts.
- Track prospectus/report/KID/SFDR versions.
- Stress counterparty and collateral concentration when numeric data exist.
- Do not create alpha from sustainability or legal labels.",- UPDATEV2-0015; UPDATEV2-0017/0018/0020.,"- Every structural field has document, date, page and confidence.
- Unknown structure is explicit and confidence-caps the ETF score.
- Conflicts between factsheet, prospectus and holdings are visible.
- Synthetic/counterparty risk does not inherit stock credit metrics without evidence.","- Parser fixtures.
- Conflict tests.
- Unknown-state tests.
- Stress calculation tests.",ETF Structure & Documents panel.,"Document parser sandbox, licence metadata and no hidden generative extraction.",UPDATEV2-0015; UPDATEV2-0018,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0105,"Build complete ETF look-through exposure, factor, valuation and quality analytics",ETF analysis,P0,High,Top-holdings summaries do not support institutional portfolio exposure analysis.,"ETF selection and portfolio risk require coverage-adjusted look-through to issuers, sectors, countries, currencies and factors.","- Resolve holdings to canonical instruments/entities and aggregate nested funds.
- Calculate coverage-adjusted concentration, valuation, profitability, growth, factor and sustainability context where lawful data exist.
- Separate direct, derivative, cash and unresolved exposure.
- Create historical holdings snapshots and methodology-based expected turnover.
- Propagate uncertainty instead of renormalising away unknown weights.",- UPDATEV2-0016; ISSUE-0082; ISSUE-0090; ISSUE-0110.,"- Weights reconcile to disclosed totals within tolerance.
- Every aggregate reports resolved, unresolved and stale coverage.
- Nested-fund cycles are detected.
- Look-through exposures reconcile from ETF to portfolio.","- Holdings reconciliation tests.
- Nested/cycle tests.
- Coverage-propagation tests.
- Factor aggregation tests.","Interactive exposure tree, overlap, factor and valuation views.",Unsupported entity matches are prohibited and manual resolutions are audited.,UPDATEV2-0016; ISSUE-0082,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0106,"Implement ETF liquidity, capacity, spread and premium-discount analysis",ETF analysis,P0/P1,Moderate,Volume and high-low proxies do not fully represent fund tradability or order capacity.,"ETF execution depends on exchange liquidity, underlying liquidity, spread, NAV dislocation and order size.","- Calculate rolling turnover, spread proxies, zero-volume days, gap risk and size-to-volume.
- Support imported bid/ask, indicative NAV/premium-discount and underlying-liquidity evidence when available.
- Model order-size slippage with conservative fallbacks.
- Separate primary-market capacity context from exchange volume.
- Flag stale and off-hours quotes.",- ISSUE-0085; ISSUE-0128; user/broker quote imports.,"- Capacity is order-size and horizon specific.
- Unavailable bid/ask/NAV evidence is explicit.
- Cost estimates widen under uncertainty and stress.
- ETF orders can be blocked by liquidity policy.","- Synthetic order-size tests.
- Stale/off-hours tests.
- Spread/NAV missing tests.
- Stress tests.",ETF Liquidity panel and order-preview capacity meter.,Imported quote licences are honoured; delayed data are not represented as real-time depth.,ISSUE-0128,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0107,"Add ETF domicile, tax, distribution, currency and hedging context",ETF analysis,P1/P2,Moderate/Low,"Domicile, withholding, accumulating/distributing structure and hedging can materially affect investor outcomes.",Portfolio fit and net-return estimates need transparent jurisdiction and currency context without becoming personal tax advice.,"- Store domicile, legal structure, distribution policy, base/trading/underlying currencies and hedge methodology.
- Model generic documented fund-level withholding or tax drag only when reliable.
- Keep user-configurable informational tax assumptions separate from the core score.
- Calculate hedge-cost/benefit scenarios from rate differentials and realised hedge behaviour.
- Display tax and legal limitations prominently.","- ETF issuer documents.
- ISSUE-0088 rates.
- ISSUE-0149 legal wording.","- Core ETF quality does not assume the user’s tax residence.
- Tax/hedge assumptions are explicit, versioned and optional.
- Trading currency is not confused with economic currency exposure.
- Net-return scenarios show included/excluded tax effects.","- Currency-mapping tests.
- Hedge-scenario tests.
- Tax-assumption-disabled tests.
- Document-provenance tests.",ETF Tax & Currency context and portfolio exposure view.,Informational only; no personalised tax recommendation or hidden jurisdiction assumptions.,ISSUE-0104; ISSUE-0088,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0108,Implement horizon-aware probabilistic total-return distributions,Expected return,P0,Moderate,The application ranks evidence but does not provide a defensible long-term gain/loss distribution.,"Both final product functions require expected net return, downside and uncertainty for selectable horizons.","- Define horizon families: weeks, months, one-to-three years and three-to-ten years.
- Stocks: combine normalised earnings/cash-flow growth, shareholder yield, dilution, valuation change, FX and scenario assumptions.
- ETFs: combine look-through exposure return, income, fees, tracking, FX and implementation cost.
- Blend structural/fundamental, factor and calibrated forecast evidence through transparent ensembles.
- Output quantiles, probability of loss, expected shortfall and benchmark/cash-relative distributions.",- ISSUE-0091–ISSUE-0107; ISSUE-0088; ISSUE-0123.,"- Every horizon has a separate target, model and validation.
- Long-term estimates are not extrapolated daily TimesFM/Toto paths.
- Gross and net distributions reconcile with costs.
- Low coverage widens uncertainty or yields unavailable.","- Decomposition tests.
- Scenario/quantile tests.
- Cost reconciliation tests.
- Horizon leakage tests.","Expected Return panel with horizon selector, fan chart, scenarios and decomposition.",Model/assumption versions and uncertainty are mandatory; no guaranteed-return language.,ISSUE-0074; ISSUE-0096; ISSUE-0105,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0109,"Implement scenario, uncertainty, confidence and model-disagreement framework",Expected return,P0/P1,High,"A point estimate or headline score hides data, parameter, model, scenario and execution uncertainty.",Portfolio and execution decisions must know when estimates are too uncertain to use.,"- Represent data, parameter, model, scenario and execution uncertainty separately.
- Create bull/base/bear plus historical and adversarial scenario sets.
- Calculate ensemble dispersion, confidence intervals and disagreement flags.
- Define confidence caps from coverage, staleness, conflicts and validation.
- Propagate uncertainty through return, risk, optimiser and proposal calculations.",- ISSUE-0108; ISSUE-0089; ISSUE-0123.,"- Every return output includes uncertainty decomposition.
- High disagreement cannot be averaged away silently.
- Configured confidence thresholds block promotion or ordering.
- Scenario assumptions are reproducible.","- Uncertainty-propagation tests.
- Disagreement tests.
- Coverage-monotonicity tests.
- Scenario replay tests.","Uncertainty and scenario comparison views across Instrument, Portfolio and Order Preview.",Confidence rules are policy-controlled and audit logged.,ISSUE-0108,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0110,"Build a transparent multi-factor risk model for stocks, ETFs and portfolios",Risk model,P0,Moderate/High,Correlation clusters and benchmark beta do not provide a complete institutional-style risk decomposition.,"Portfolio construction needs common factor, industry, country, currency and specific-risk estimates.","- Define market, size, value, momentum, quality/profitability, investment, low-volatility, industry, country and currency factors.
- Estimate exposures from transparent descriptors and ETF look-through.
- Estimate factor returns with robust cross-sectional methods and residual/specific risk.
- Use public reference factors for validation, not as a black-box replacement.
- Version universes, standardisation, winsorisation and constraints.","- ISSUE-0088 factors.
- ISSUE-0098 peers.
- ISSUE-0105 look-through.
- ISSUE-0073.","- Instrument and portfolio risk decompose into factors and specific risk.
- Exposure coverage and standard errors are visible.
- ETF exposure reconciles with holdings coverage.
- The model is validated against public factor series and simple beta baselines.","- Exposure/return fixtures.
- Cross-sectional robustness tests.
- Coverage reconciliation tests.
- Out-of-sample stability tests.","Risk workspace with exposure, contribution and historical factor charts.",No proprietary Barra/Axioma data or formulas are copied; methodology and limitations are documented.,ISSUE-0052; ISSUE-0059,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0111,"Implement robust covariance, volatility, correlation and tail-risk estimation",Risk model,P0,High,Sample covariance is unstable and current risk metrics are limited.,Optimisers and stress tests can become dangerously concentrated when risk estimates are noisy.,"- Implement sample, EWMA, shrinkage, robust and factor-model covariance estimators.
- Report conditioning, effective sample, eigenvalue and stability diagnostics.
- Estimate downside volatility, VaR/expected shortfall, drawdown, tail dependence and liquidity-adjusted risk.
- Use block/bootstrap uncertainty and regime comparisons.
- Select estimators through out-of-sample validation rather than in-sample fit.","- NumPy/SciPy/scikit-learn covariance tools.
- ISSUE-0110 factor model.","- Equal-weight and simple diagonal-risk baselines are always available.
- Ill-conditioned matrices are rejected or visibly regularised.
- Risk estimates include uncertainty and sample sufficiency.
- Portfolio risk reconciles to component contributions.","- Positive-semidefinite/property tests.
- Ill-conditioned fixtures.
- Bootstrap tests.
- Out-of-sample estimator tests.",Risk Model diagnostics and estimator comparison.,"Estimator selection, parameters and failures are versioned and audited.",ISSUE-0110,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0112,"Create canonical benchmarks, peer sets, cash proxies and reference portfolios",Benchmarking,P0/P1,High,"A single broad benchmark cannot evaluate sector, currency, strategy or portfolio objectives.",Professional evaluation requires appropriate alternatives and reference portfolios.,"- Define broad, regional, country, sector/theme, factor, cash/risk-free and defensive references.
- Support a user-selected benchmark plus policy-suggested alternatives.
- Create equal-weight, cap-weight, current-portfolio and no-trade reference portfolios.
- Use total-return and currency-consistent series.
- Version constituent/methodology evidence where available.",- ISSUE-0088; UPDATEV2-0019; ISSUE-0084.,"- Every analysis declares its benchmark and cash alternative.
- Missing benchmark produces N/A rather than a hidden substitute.
- Attribution and validation share the same definitions.
- No-trade baseline is included in rebalance evaluation.","- Currency/return reconciliation tests.
- Missing-benchmark tests.
- Benchmark-version tests.
- Reference-portfolio tests.",Benchmark selector and comparison panels everywhere relevant.,Benchmark data terms and methodology sources are retained.,ISSUE-0051; ISSUE-0059,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0113,Implement a constrained portfolio-optimiser suite with robust baselines,Portfolio construction,P0,Moderate/High,Target weights and simple allocation context are insufficient for portfolio decisions.,Different objectives and uncertain inputs require multiple transparent methods and strong constraints.,"- Provide equal weight, inverse volatility, minimum variance, equal risk contribution, HRP/HERC, maximum diversification, CVaR and Black–Litterman/robust mean-risk methods.
- Use CVXPY, Riskfolio-Lib or PyPortfolioOpt behind internal contracts after licence/security review.
- Support long-only, min/max weight, turnover, sector, factor, country, currency, liquidity and cash constraints.
- Compare optimisers out of sample and always show simple baselines.
- Expose binding constraints and sensitivity to inputs.","- ISSUE-0108 return distributions.
- ISSUE-0110/0111 risk.
- Riskfolio-Lib/CVXPY/PyPortfolioOpt.","- Every solution is feasible, reproducible and reconciles weights.
- Solver failure falls back visibly instead of producing arbitrary weights.
- Naive baselines cannot be hidden.
- Input perturbation and concentration diagnostics are reported.","- Constraint/property tests.
- Solver-failure tests.
- Perturbation tests.
- Baseline out-of-sample tests.","Portfolio Optimiser Lab with frontier, allocations, constraints and comparisons.",Solver versions/parameters are audited; no target gains order authority without policy approval.,ISSUE-0021; ISSUE-0110; ISSUE-0111,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0114,"Implement turnover-, cost-, tax-lot- and cash-aware rebalancing",Portfolio construction,P0/P1,Moderate,Ideal target weights can be uneconomic or impossible to trade.,"Long-term portfolio performance depends on controlling turnover, costs, cash, lots and minimum order constraints.","- Translate targets into integer or permitted fractional-lot proposals.
- Optimise the trade-off between target tracking and transaction/tax costs.
- Support configurable tax-lot accounting and informational tax models.
- Model cash buffers, settlement, minimum trade, broker fractions and restricted positions.
- Compare full, partial, deferred and no-trade alternatives.",- ISSUE-0113; ISSUE-0127 accounting; ISSUE-0128 cost models.,"- Proposals balance cash and positions within tolerance.
- All cost and lot assumptions are visible.
- No-trade and deferred alternatives are evaluated.
- Tax logic is optional and jurisdiction-labelled.","- Accounting/integer tests.
- Cash/settlement tests.
- Minimum-order tests.
- Tax-lot scenario tests.","Rebalance workspace with trade list, alternatives and drift after cost.",Personal tax assumptions are informational and broker constraints are validated before submission.,ISSUE-0113,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0115,"Build historical, hypothetical and reverse stress-testing engine",Risk & scenarios,P0/P1,High,Regime labels and tail metrics do not quantify portfolio sensitivity to severe but plausible shocks.,Institutional risk workflows test exposures before capital is allocated.,"- Create historical replay, factor, rates, FX, equity, credit, commodity and liquidity-widening shocks.
- Build reverse stress to identify shocks that breach loss or risk limits.
- Propagate shocks through stock fundamentals, ETF look-through, FX, factor risk and costs.
- Support validated user-defined scenarios.
- Store scenario versions and assumptions.",- ISSUE-0109; ISSUE-0110/0111; ISSUE-0105.,"- Scenario PnL reconciles to instrument and factor contributions.
- Coverage gaps and nonlinear limitations are visible.
- Reverse stress identifies threshold and binding exposure.
- Scenarios are not represented as probability forecasts.","- Known-shock fixtures.
- Contribution reconciliation tests.
- Reverse-stress solver tests.
- Coverage tests.",Stress Lab and portfolio scenario comparison.,Scenario edits are audited; unauthorised scenarios cannot alter live limits.,ISSUE-0109; ISSUE-0110,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0116,"Implement performance, risk, factor and decision attribution",Attribution,P0/P1,High,Current benchmark fields do not explain where portfolio outcomes came from.,"Research and trading improvement require decomposition of return, risk, costs and decisions over time.","- Implement time- and money-weighted performance, allocation/selection attribution where applicable, factor attribution and currency effects.
- Attribute risk contribution, transaction costs, slippage, tax and cash drag.
- Compare model target, approved target, orders and fills.
- Link outcomes to decision journal and model versions.
- Handle partial coverage and residual/unexplained return.",- ISSUE-0110–ISSUE-0115; ISSUE-0127; ISSUE-0134.,"- Instrument contributions sum to portfolio return within tolerance.
- Factor and residual attribution show coverage and uncertainty.
- Costs reconcile to the ledger.
- Decision attribution separates model, human and execution effects.","- Attribution identity tests.
- Multi-currency tests.
- Partial-coverage tests.
- Ledger reconciliation tests.",Portfolio Performance & Attribution workspace.,Immutable period-close snapshots and audit links to source/model/order records.,ISSUE-0021; ISSUE-0059,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0117,"Implement the local training centre, experiment tracker and model registry",Model research,P0,High,"Forecast runs exist, but there is no complete experiment lifecycle or governed promotion workflow.","Trustworthy improvement requires reproducible datasets, trials, comparisons, artefacts and champion/challenger records.","- Create experiments, runs, parameters, metrics, artefacts, datasets, models and promotion states.
- Integrate MLflow locally or provide a compatible lightweight registry behind an adapter.
- Use ISSUE-0077 jobs for training, evaluation, cancellation and restart.
- Store code, environment, data and feature hashes plus final model cards.
- Provide live progress and completion reports.","- MLflow optional local service/library after intake.
- ISSUE-0075; ISSUE-0077.","- Every model is traceable to data, code, parameters and evaluation.
- Only approved models can become challengers or champions.
- Failed/cancelled runs cannot publish model aliases.
- Experiments can be replayed offline.","- Registry lifecycle tests.
- Crash/cancel tests.
- Artefact-integrity tests.
- Offline replay tests.","Training Centre with run list, live metrics, comparisons and final report.","Model artefacts are verified, unsafe deserialisation is blocked and secrets are excluded.",ISSUE-0027; ISSUE-0075,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0118,"Create synthetic and adversarial market, data-quality and execution generators",Model research,P1,Moderate,"Synthetic data is requested, but naive generated markets can teach artefacts and create false confidence.","Synthetic scenarios are valuable for invariants, rare failures and robustness—not proof of alpha.","- Generate configurable regimes, correlations, jumps, volatility clusters, missingness, restatements, actions and provider conflicts.
- Generate order, fill, latency, partial-fill and reconciliation failures.
- Separate deterministic test fixtures from stochastic research simulations.
- Record generator parameters and seeds.
- Prohibit synthetic-only evidence from model or strategy promotion.","- NumPy/SciPy and optional reviewed stochastic-process libraries.
- ISSUE-0075.","- All generated datasets are labelled synthetic.
- Seeds reproduce exact outputs.
- Generators cover declared edge cases and validate invariants.
- Promotion reports exclude synthetic performance from forward-evidence counts.","- Distribution/property tests.
- Seed reproducibility tests.
- Accounting/failure fixtures.
- Authority-boundary tests.",Training Centre synthetic scenario builder and robustness summary.,Synthetic data are never merged with real raw data or mislabelled in exports.,ISSUE-0117,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0119,Build a leakage-safe feature store and target/label registry,Model research,P0,High,Features and forecast targets are calculated in multiple paths without a central availability and horizon contract.,Leakage-safe training requires immutable as-of features and precisely defined outcomes.,"- Register feature definitions, lookbacks, availability delay, dependencies, units and missing policy.
- Materialise point-in-time feature matrices by decision timestamp.
- Define simple horizon returns, excess returns, drawdown/tail and optional event labels.
- Prevent overlapping-target leakage and record embargo requirements.
- Support offline and paper/live inference parity.",- ISSUE-0073; ISSUE-0074; ISSUE-0075.,"- Training and live inference use the same feature definitions.
- Every feature value is reproducible as-of time.
- Targets never enter features or preprocessing fit.
- Feature drift and coverage are measurable.","- Look-ahead tests.
- Train/live parity tests.
- Missing/preprocessing tests.
- Target-overlap tests.",Feature Catalogue and Training data preview.,Feature provenance and licences are retained; sensitive imported data are access-controlled.,ISSUE-0073; ISSUE-0117,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
