source_record_id,source_kind,source_file,source_title,canonical_id,canonical_title,classification,ledger_state,package_status,programme_status,priority,owner,phase,dependency_candidates,blocking_dependencies,required_inputs,activation_dependencies,downstream_issues,related_issues,discrepancy
ISSUE-0075,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create formula, feature, dataset, model and policy version registries",ISSUE-0075,"Create formula, feature, dataset, model and policy version registries",proposed_new,open,,integrated,P0,reproducibility,phase-01-governance-scope,ISSUE-0072;ISSUE-0074,ISSUE-0072;ISSUE-0074,,,ISSUE-0077;ISSUE-0090;ISSUE-0117;ISSUE-0141;ISSUE-0147,,
ISSUE-0076,proposed,ETF_AI_Cockpit_New_Issues.csv,"Define stable plugin contracts for providers, models, strategies and brokers",ISSUE-0076,"Define stable plugin contracts for providers, models, strategies and brokers",proposed_new,open,,integrated,P0/P1,platform-and-operations,phase-01-governance-scope,ISSUE-0070;ISSUE-0071,ISSUE-0070;ISSUE-0071,,,ISSUE-0080;ISSUE-0144;ISSUE-0155;ISSUE-0170;ISSUE-0171;ISSUE-0173;ISSUE-0176,,
ISSUE-0077,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement a durable resumable job DAG and workflow scheduler,ISSUE-0077,Implement a durable resumable job DAG and workflow scheduler,proposed_new,open,,integrated,P0,platform-and-operations,phase-01-governance-scope,ISSUE-0072;ISSUE-0075,ISSUE-0072;ISSUE-0075,,,ISSUE-0078;ISSUE-0081;ISSUE-0165;ISSUE-0175,,
ISSUE-0078,proposed,ETF_AI_Cockpit_New_Issues.csv,"Set performance, memory, storage and latency budgets with regression profiling",ISSUE-0078,"Set performance, memory, storage and latency budgets with regression profiling",proposed_new,open,,integrated,P0/P1,platform-and-operations,phase-01-governance-scope,ISSUE-0077,ISSUE-0077,,,ISSUE-0151;ISSUE-0175,,
ISSUE-0079,proposed,ETF_AI_Cockpit_New_Issues.csv,"Establish open-source intake, licence, provenance and upstream-update governance",ISSUE-0079,"Establish open-source intake, licence, provenance and upstream-update governance",proposed_new,open,,hardening_required,P0,security-and-release,phase-01-governance-scope,ISSUE-0145;ISSUE-0149,ISSUE-0145;ISSUE-0149,,,ISSUE-0085,,
ISSUE-0080,proposed,ETF_AI_Cockpit_New_Issues.csv,"Enforce a mandatory no-subscription, no-vendor-quota local-first data policy",ISSUE-0080,"Enforce a mandatory no-subscription, no-vendor-quota local-first data policy",proposed_new,open,,integrated,P0,data-platform,phase-02-data-policy-identity,ISSUE-0070;ISSUE-0076,ISSUE-0070;ISSUE-0076,,,ISSUE-0081;ISSUE-0088;ISSUE-0149;ISSUE-0171;ISSUE-0176,,
ISSUE-0081,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build a resumable bulk downloader, content-addressed cache and delta updater",ISSUE-0081,"Build a resumable bulk downloader, content-addressed cache and delta updater",proposed_new,open,,integrated,P0,data-platform,phase-02-data-policy-identity,ISSUE-0072;ISSUE-0077;ISSUE-0080,ISSUE-0072;ISSUE-0077;ISSUE-0080,,,ISSUE-0087;ISSUE-0088;ISSUE-0155;ISSUE-0165;ISSUE-0171,,
ISSUE-0082,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create a global entity, instrument, fund, share-class and listing identity master",ISSUE-0082,"Create a global entity, instrument, fund, share-class and listing identity master",proposed_new,open,,integrated,P0,data-platform,phase-02-data-policy-identity,ISSUE-0073;UPDATEV2-0011,ISSUE-0073;UPDATEV2-0011,,,ISSUE-0083;ISSUE-0084;ISSUE-0085;ISSUE-0086;ISSUE-0105;ISSUE-0126;ISSUE-0153;ISSUE-0170,,
ISSUE-0083,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement automatic asset, sector, industry and strategy classification with confidence",ISSUE-0083,"Implement automatic asset, sector, industry and strategy classification with confidence",proposed_new,open,,integrated,P0/P1,data-platform,phase-02-data-policy-identity,ISSUE-0082,ISSUE-0082,,,ISSUE-0098;ISSUE-0153;ISSUE-0162;ISSUE-0170,,
ISSUE-0084,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build corporate-action, total-return and currency-normalisation services",ISSUE-0084,"Build corporate-action, total-return and currency-normalisation services",proposed_new,open,,integrated,P0,data-platform,phase-02-data-policy-identity,ISSUE-0073;ISSUE-0082,ISSUE-0073;ISSUE-0082,,,ISSUE-0094;ISSUE-0103;ISSUE-0127;ISSUE-0159;ISSUE-0163;ISSUE-0173,,
ISSUE-0085,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement exchange calendars, sessions, holidays, auctions and market-state service",ISSUE-0085,"Implement exchange calendars, sessions, holidays, auctions and market-state service",proposed_new,open,,implemented_initially,P0/P1,data-platform,phase-02-data-policy-identity,ISSUE-0079;ISSUE-0082,ISSUE-0079;ISSUE-0082,,,ISSUE-0153;ISSUE-0154;ISSUE-0159;ISSUE-0167;ISSUE-0170,,
ISSUE-0086,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create user, broker and exchange historical price, position and transaction import pipelines",ISSUE-0086,"Create user, broker and exchange historical price, position and transaction import pipelines",proposed_new,open,,in_progress,P0,data-platform,phase-02-data-policy-identity,ISSUE-0036;ISSUE-0082,ISSUE-0036;ISSUE-0082,,,,,
ISSUE-0087,proposed,ETF_AI_Cockpit_New_Issues.csv,Expand official filing discovery and ingestion across supported jurisdictions,ISSUE-0087,Expand official filing discovery and ingestion across supported jurisdictions,proposed_new,open,,integrated,P0/P1,data-platform,phase-02-data-policy-identity,ISSUE-0081;UPDATEV2-0012;UPDATEV2-0014,ISSUE-0081;UPDATEV2-0012;UPDATEV2-0014,,,,,
ISSUE-0088,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build a versioned macro, factor, risk-free and benchmark data warehouse",ISSUE-0088,"Build a versioned macro, factor, risk-free and benchmark data warehouse",proposed_new,open,,implemented_initially,P0/P1,data-platform,phase-02-data-policy-identity,ISSUE-0073;ISSUE-0080;ISSUE-0081,ISSUE-0073;ISSUE-0080;ISSUE-0081,,,ISSUE-0096;ISSUE-0107;ISSUE-0154;ISSUE-0155;ISSUE-0173,,
ISSUE-0089,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement data anomaly detection, quarantine and cross-source reconciliation",ISSUE-0089,"Implement data anomaly detection, quarantine and cross-source reconciliation",proposed_new,open,,planned,P0,data-platform,phase-02-data-policy-identity,ISSUE-0073;UPDATEV2-0021,ISSUE-0073;UPDATEV2-0021,,,ISSUE-0173,,
ISSUE-0090,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create a data catalogue, lineage graph and reproducible dataset snapshots",ISSUE-0090,"Create a data catalogue, lineage graph and reproducible dataset snapshots",proposed_new,open,,implemented_initially,P0/P1,data-platform,phase-02-data-policy-identity,ISSUE-0072;ISSUE-0075,ISSUE-0072;ISSUE-0075,,,ISSUE-0150,,
ISSUE-0091,proposed,ETF_AI_Cockpit_New_Issues.csv,"Normalise multi-period financial statements, amendments and restatements",ISSUE-0091,"Normalise multi-period financial statements, amendments and restatements",proposed_new,open,,integrated,P0,stock-research,phase-03-stock-research,ISSUE-0073;UPDATEV2-0012,ISSUE-0073;UPDATEV2-0012,,,ISSUE-0092;ISSUE-0093;ISSUE-0094;ISSUE-0095;ISSUE-0096;ISSUE-0097;ISSUE-0156,,
ISSUE-0092,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add profitability, margin durability, earnings quality and accrual analysis",ISSUE-0092,"Add profitability, margin durability, earnings quality and accrual analysis",proposed_new,open,,implemented_initially,P0/P1,stock-research,phase-03-stock-research,ISSUE-0074;ISSUE-0091,ISSUE-0074;ISSUE-0091,,,ISSUE-0097,,
ISSUE-0093,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add balance-sheet strength, liquidity, leverage and distress analysis",ISSUE-0093,"Add balance-sheet strength, liquidity, leverage and distress analysis",proposed_new,open,,implemented_initially,P0/P1,stock-research,phase-03-stock-research,ISSUE-0091,ISSUE-0091,,,,,
ISSUE-0094,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add cash-flow quality, capital allocation, shareholder yield and dilution analysis",ISSUE-0094,"Add cash-flow quality, capital allocation, shareholder yield and dilution analysis",proposed_new,open,,planned,P0/P1,stock-research,phase-03-stock-research,ISSUE-0084;ISSUE-0091,ISSUE-0084;ISSUE-0091,,,,,
ISSUE-0095,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add growth, revisions, guidance and earnings-surprise evidence with optional imports",ISSUE-0095,"Add growth, revisions, guidance and earnings-surprise evidence with optional imports",proposed_new,open,,integrated,P1,stock-research,phase-03-stock-research,ISSUE-0091,ISSUE-0091,,,,,
ISSUE-0096,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement relative valuation, intrinsic-value scenarios, reverse DCF and residual-income models",ISSUE-0096,"Implement relative valuation, intrinsic-value scenarios, reverse DCF and residual-income models",proposed_new,open,,implemented_initially,P0/P1,stock-research,phase-03-stock-research,ISSUE-0088;ISSUE-0091,ISSUE-0088;ISSUE-0091,,,ISSUE-0108,,
ISSUE-0097,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add capital efficiency, reinvestment, intangible investment and business-quality proxies",ISSUE-0097,"Add capital efficiency, reinvestment, intangible investment and business-quality proxies",proposed_new,open,,implemented_initially,P1,stock-research,phase-03-stock-research,ISSUE-0091;ISSUE-0092,ISSUE-0091;ISSUE-0092,,,,,
ISSUE-0098,proposed,ETF_AI_Cockpit_New_Issues.csv,Create the stock sector-adapter and peer-cohort framework,ISSUE-0098,Create the stock sector-adapter and peer-cohort framework,proposed_new,open,,planned,P0,stock-research,phase-03-stock-research,ISSUE-0074;ISSUE-0083,ISSUE-0074;ISSUE-0083,,,ISSUE-0099;ISSUE-0100;ISSUE-0101;ISSUE-0102;ISSUE-0157;ISSUE-0172,,
ISSUE-0099,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement bank, insurer and diversified-financial sector adapters",ISSUE-0099,"Implement bank, insurer and diversified-financial sector adapters",proposed_new,open,,planned,P0/P1,stock-research,phase-03-stock-research,ISSUE-0098,ISSUE-0098,,,,,
ISSUE-0100,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement REIT, utility and infrastructure sector adapters",ISSUE-0100,"Implement REIT, utility and infrastructure sector adapters",proposed_new,open,,planned,P1,stock-research,phase-03-stock-research,ISSUE-0098,ISSUE-0098,,,,,
ISSUE-0101,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement energy, materials and industrial cyclical-sector adapters",ISSUE-0101,"Implement energy, materials and industrial cyclical-sector adapters",proposed_new,open,,planned,P1,stock-research,phase-03-stock-research,ISSUE-0098,ISSUE-0098,,,,,
ISSUE-0102,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement software, semiconductor, healthcare and biotechnology adapters",ISSUE-0102,"Implement software, semiconductor, healthcare and biotechnology adapters",proposed_new,open,,planned,P1,stock-research,phase-03-stock-research,ISSUE-0098,ISSUE-0098,,,,,
ISSUE-0103,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement ETF economics, fee, tracking and closure-quality analysis",ISSUE-0103,"Implement ETF economics, fee, tracking and closure-quality analysis",proposed_new,open,,planned,P0/P1,etf-research,phase-04-etf-research,ISSUE-0084;UPDATEV2-0015,ISSUE-0084;UPDATEV2-0015,,,,,
ISSUE-0104,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement ETF structural, legal, counterparty, lending and collateral risk analysis",ISSUE-0104,"Implement ETF structural, legal, counterparty, lending and collateral risk analysis",proposed_new,open,,planned,P0/P1,etf-research,phase-04-etf-research,UPDATEV2-0015;UPDATEV2-0018,UPDATEV2-0015;UPDATEV2-0018,,,ISSUE-0107,,
ISSUE-0105,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build complete ETF look-through exposure, factor, valuation and quality analytics",ISSUE-0105,"Build complete ETF look-through exposure, factor, valuation and quality analytics",proposed_new,open,,planned,P0,etf-research,phase-04-etf-research,ISSUE-0082;UPDATEV2-0016,ISSUE-0082;UPDATEV2-0016,,,ISSUE-0108;ISSUE-0162;ISSUE-0172,,
ISSUE-0106,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement ETF liquidity, capacity, spread and premium-discount analysis",ISSUE-0106,"Implement ETF liquidity, capacity, spread and premium-discount analysis",proposed_new,open,,implemented_initially,P0/P1,etf-research,phase-04-etf-research,ISSUE-0128,ISSUE-0128,,,,,
ISSUE-0107,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add ETF domicile, tax, distribution, currency and hedging context",ISSUE-0107,"Add ETF domicile, tax, distribution, currency and hedging context",proposed_new,open,,planned,P1/P2,etf-research,phase-04-etf-research,ISSUE-0088;ISSUE-0104,ISSUE-0088;ISSUE-0104,,,,,
ISSUE-0108,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement horizon-aware probabilistic total-return distributions,ISSUE-0108,Implement horizon-aware probabilistic total-return distributions,proposed_new,open,,planned,P0,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0074;ISSUE-0096;ISSUE-0105,ISSUE-0074;ISSUE-0096;ISSUE-0105,,,ISSUE-0109;ISSUE-0123;ISSUE-0157;ISSUE-0166;ISSUE-0168;ISSUE-0172;ISSUE-0174,,
ISSUE-0109,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement scenario, uncertainty, confidence and model-disagreement framework",ISSUE-0109,"Implement scenario, uncertainty, confidence and model-disagreement framework",proposed_new,open,,implemented_initially,P0/P1,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0108,ISSUE-0108,,,ISSUE-0115;ISSUE-0157;ISSUE-0166;ISSUE-0168;ISSUE-0172;ISSUE-0174,,
ISSUE-0110,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build a transparent multi-factor risk model for stocks, ETFs and portfolios",ISSUE-0110,"Build a transparent multi-factor risk model for stocks, ETFs and portfolios",proposed_new,open,,integrated,P0,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0052;ISSUE-0059,ISSUE-0052;ISSUE-0059,,,ISSUE-0111;ISSUE-0113;ISSUE-0115;ISSUE-0166;ISSUE-0168;ISSUE-0174,,
ISSUE-0111,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement robust covariance, volatility, correlation and tail-risk estimation",ISSUE-0111,"Implement robust covariance, volatility, correlation and tail-risk estimation",proposed_new,open,,integrated,P0,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0110,ISSUE-0110,,,ISSUE-0113;ISSUE-0156;ISSUE-0166;ISSUE-0168;ISSUE-0174,,
ISSUE-0112,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create canonical benchmarks, peer sets, cash proxies and reference portfolios",ISSUE-0112,"Create canonical benchmarks, peer sets, cash proxies and reference portfolios",proposed_new,open,,planned,P0/P1,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0051;ISSUE-0059,ISSUE-0051;ISSUE-0059,,,ISSUE-0157;ISSUE-0166;ISSUE-0172;ISSUE-0174,,
ISSUE-0113,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement a constrained portfolio-optimiser suite with robust baselines,ISSUE-0113,Implement a constrained portfolio-optimiser suite with robust baselines,proposed_new,open,,implemented_initially,P0,portfolio-construction,phase-05-returns-risk-portfolio,ISSUE-0021;ISSUE-0110;ISSUE-0111,ISSUE-0021;ISSUE-0110;ISSUE-0111,,,ISSUE-0114;ISSUE-0164;ISSUE-0166,,
ISSUE-0114,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement turnover-, cost-, tax-lot- and cash-aware rebalancing",ISSUE-0114,"Implement turnover-, cost-, tax-lot- and cash-aware rebalancing",proposed_new,open,,implemented_initially,P0/P1,portfolio-construction,phase-05-returns-risk-portfolio,ISSUE-0113,ISSUE-0113,,,ISSUE-0130;ISSUE-0164;ISSUE-0167,,
ISSUE-0115,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build historical, hypothetical and reverse stress-testing engine",ISSUE-0115,"Build historical, hypothetical and reverse stress-testing engine",proposed_new,open,,integrated,P0/P1,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0109;ISSUE-0110,ISSUE-0109;ISSUE-0110,,,ISSUE-0164;ISSUE-0168,,
ISSUE-0116,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement performance, risk, factor and decision attribution",ISSUE-0116,"Implement performance, risk, factor and decision attribution",proposed_new,open,,implemented_initially,P0/P1,returns-and-risk,phase-05-returns-risk-portfolio,ISSUE-0021;ISSUE-0059,ISSUE-0021;ISSUE-0059,,,ISSUE-0134;ISSUE-0164,,
ISSUE-0117,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement the local training centre, experiment tracker and model registry",ISSUE-0117,"Implement the local training centre, experiment tracker and model registry",proposed_new,open,,implemented_initially,P0,model-governance,phase-06-model-research,ISSUE-0027;ISSUE-0075,ISSUE-0027;ISSUE-0075,,,ISSUE-0118;ISSUE-0119;ISSUE-0121;ISSUE-0124,,
ISSUE-0118,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create synthetic and adversarial market, data-quality and execution generators",ISSUE-0118,"Create synthetic and adversarial market, data-quality and execution generators",proposed_new,open,,implemented_initially,P1,model-governance,phase-06-model-research,ISSUE-0117,ISSUE-0117,,,,,
ISSUE-0119,proposed,ETF_AI_Cockpit_New_Issues.csv,Build a leakage-safe feature store and target/label registry,ISSUE-0119,Build a leakage-safe feature store and target/label registry,proposed_new,open,,implemented_initially,P0,model-governance,phase-06-model-research,ISSUE-0073;ISSUE-0117,ISSUE-0073;ISSUE-0117,,,ISSUE-0120,,
ISSUE-0120,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement walk-forward, nested, purged and embargoed validation with multiple-testing control",ISSUE-0120,"Implement walk-forward, nested, purged and embargoed validation with multiple-testing control",proposed_new,open,,implemented_initially,P0,model-governance,phase-06-model-research,ISSUE-0119,ISSUE-0119,,,ISSUE-0121;ISSUE-0122;ISSUE-0123;ISSUE-0150;ISSUE-0157;ISSUE-0172,,
ISSUE-0121,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create a baseline and challenger model zoo for return, risk and fundamentals",ISSUE-0121,"Create a baseline and challenger model zoo for return, risk and fundamentals",proposed_new,open,,implemented_initially,P0/P1,model-governance,phase-06-model-research,ISSUE-0117;ISSUE-0120,ISSUE-0117;ISSUE-0120,,,ISSUE-0175,,
ISSUE-0122,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement bounded hyperparameter optimisation, pruning and compute governance",ISSUE-0122,"Implement bounded hyperparameter optimisation, pruning and compute governance",proposed_new,open,,implemented_initially,P1,model-governance,phase-06-model-research,ISSUE-0120,ISSUE-0120,,,,,
ISSUE-0123,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement probabilistic and conformal forecast calibration,ISSUE-0123,Implement probabilistic and conformal forecast calibration,proposed_new,open,,planned,P0/P1,model-governance,phase-06-model-research,ISSUE-0108;ISSUE-0120,ISSUE-0108;ISSUE-0120,,,ISSUE-0124;ISSUE-0157;ISSUE-0172;ISSUE-0174,,
ISSUE-0124,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement model monitoring, drift, champion/challenger and retirement governance",ISSUE-0124,"Implement model monitoring, drift, champion/challenger and retirement governance",proposed_new,open,,planned,P0/P1,model-governance,phase-06-model-research,ISSUE-0117;ISSUE-0123,ISSUE-0117;ISSUE-0123,,,,,
ISSUE-0125,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement a deterministic event-driven, order-level backtest engine",ISSUE-0125,"Implement a deterministic event-driven, order-level backtest engine",proposed_new,open,,implemented_initially,P0,backtest-and-paper,phase-07-backtest-paper-execution,ISSUE-0028;ISSUE-0050,ISSUE-0028;ISSUE-0050,,,,,
ISSUE-0126,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement point-in-time universes, delistings and survivorship-bias controls",ISSUE-0126,"Implement point-in-time universes, delistings and survivorship-bias controls",proposed_new,open,,planned,P0,backtest-and-paper,phase-07-backtest-paper-execution,ISSUE-0073;ISSUE-0082,ISSUE-0073;ISSUE-0082,,,ISSUE-0165,,
ISSUE-0127,proposed,ETF_AI_Cockpit_New_Issues.csv,"Create the double-entry portfolio, cash, FX, fee, tax and corporate-action ledger",ISSUE-0127,"Create the double-entry portfolio, cash, FX, fee, tax and corporate-action ledger",proposed_new,open,,planned,P0,trading-safety,phase-07-backtest-paper-execution,ISSUE-0072;ISSUE-0084,ISSUE-0072;ISSUE-0084,,,ISSUE-0131;ISSUE-0142;ISSUE-0159;ISSUE-0161;ISSUE-0162;ISSUE-0163;ISSUE-0164;ISSUE-0167;ISSUE-0168,,
ISSUE-0128,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement spread, slippage, market-impact, capacity and execution-cost models",ISSUE-0128,"Implement spread, slippage, market-impact, capacity and execution-cost models",proposed_new,open,,implemented_initially,P0/P1,trading-safety,phase-07-backtest-paper-execution,ISSUE-0064;ISSUE-0106,ISSUE-0064,,,ISSUE-0106;ISSUE-0166;ISSUE-0172;ISSUE-0174,ISSUE-0106,
ISSUE-0129,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement the full paper broker, frozen proposal ledger and forward evidence service",ISSUE-0129,"Implement the full paper broker, frozen proposal ledger and forward evidence service",proposed_new,open,,integrated,P0,backtest-and-paper,phase-07-backtest-paper-execution,ISSUE-0031;ISSUE-0057,ISSUE-0031;ISSUE-0057,,,,,
ISSUE-0130,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement the target-to-proposal policy and authority engine,ISSUE-0130,Implement the target-to-proposal policy and authority engine,proposed_new,open,,integrated,P0,trading-safety,phase-07-backtest-paper-execution,ISSUE-0070;ISSUE-0114,ISSUE-0070;ISSUE-0114,,,ISSUE-0167,,
ISSUE-0131,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement broker adapter contracts, read-only synchronisation and reconciliation",ISSUE-0131,"Implement broker adapter contracts, read-only synchronisation and reconciliation",proposed_new,open,,planned,P0/P1,trading-safety,phase-07-backtest-paper-execution,ISSUE-0066;ISSUE-0127,ISSUE-0066;ISSUE-0127,,,ISSUE-0132;ISSUE-0134;ISSUE-0135;ISSUE-0167,,
ISSUE-0132,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement independent pre-trade controls, kill switches and operational limits",ISSUE-0132,"Implement independent pre-trade controls, kill switches and operational limits",proposed_new,open,,planned,P0,trading-safety,phase-07-backtest-paper-execution,ISSUE-0131,ISSUE-0131,,,ISSUE-0133;ISSUE-0135;ISSUE-0142;ISSUE-0167,,
ISSUE-0133,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement staged canary live execution with explicit promotion gates,ISSUE-0133,Implement staged canary live execution with explicit promotion gates,proposed_new,open,,planned,P0,trading-safety,phase-07-backtest-paper-execution,ISSUE-0132;ISSUE-0152,ISSUE-0132,,ISSUE-0152,ISSUE-0167,,
ISSUE-0134,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement post-trade transaction-cost, execution-quality and decision attribution",ISSUE-0134,"Implement post-trade transaction-cost, execution-quality and decision attribution",proposed_new,open,,planned,P1,trading-safety,phase-07-backtest-paper-execution,ISSUE-0116;ISSUE-0131,ISSUE-0116;ISSUE-0131,,,ISSUE-0167,,
ISSUE-0135,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement incident management, recovery, reconciliation and operational drills",ISSUE-0135,"Implement incident management, recovery, reconciliation and operational drills",proposed_new,open,,planned,P0,trading-safety,phase-07-backtest-paper-execution,ISSUE-0131;ISSUE-0132,ISSUE-0131;ISSUE-0132,,,ISSUE-0167,,
ISSUE-0136,proposed,ETF_AI_Cockpit_New_Issues.csv,Create a typed local application API and page-view-model layer,ISSUE-0136,Create a typed local application API and page-view-model layer,proposed_new,open,,integrated,P0,frontend-and-api,phase-08-frontend-api,ISSUE-0071,ISSUE-0071,,,ISSUE-0137;ISSUE-0139;ISSUE-0158;ISSUE-0169,,
ISSUE-0137,proposed,ETF_AI_Cockpit_New_Issues.csv,Deliver frontend v2 design system and task-oriented information architecture,ISSUE-0137,Deliver frontend v2 design system and task-oriented information architecture,proposed_new,open,,implemented_initially,P0/P1,frontend-and-api,phase-08-frontend-api,ISSUE-0136,ISSUE-0136,,,ISSUE-0138;ISSUE-0139;ISSUE-0140;ISSUE-0158,,
ISSUE-0138,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build professional research, comparison, charting and screening workspaces",ISSUE-0138,"Build professional research, comparison, charting and screening workspaces",proposed_new,open,,implemented_initially,P0/P1,frontend-and-api,phase-08-frontend-api,ISSUE-0137,ISSUE-0137,,,ISSUE-0158;ISSUE-0161,,
ISSUE-0139,proposed,ETF_AI_Cockpit_New_Issues.csv,"Build portfolio, training, paper and live operations workspaces",ISSUE-0139,"Build portfolio, training, paper and live operations workspaces",proposed_new,open,,implemented_initially,P0/P1,frontend-and-api,phase-08-frontend-api,ISSUE-0136;ISSUE-0137,ISSUE-0136;ISSUE-0137,,,ISSUE-0158;ISSUE-0160;ISSUE-0161,,
ISSUE-0140,proposed,ETF_AI_Cockpit_New_Issues.csv,"Complete accessibility, global search, command palette, localisation and unit formatting",ISSUE-0140,"Complete accessibility, global search, command palette, localisation and unit formatting",proposed_new,open,,implemented_initially,P1,frontend-and-api,phase-08-frontend-api,ISSUE-0137,ISSUE-0137,,,ISSUE-0158,,
ISSUE-0141,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement hermetic CI, multi-platform build and release automation",ISSUE-0141,"Implement hermetic CI, multi-platform build and release automation",proposed_new,open,,integrated,P0,quality-and-release,phase-09-quality-release-security,ISSUE-0075;ISSUE-0145,ISSUE-0075;ISSUE-0145,,,ISSUE-0143,,
ISSUE-0142,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add property, metamorphic, golden, differential and mutation testing",ISSUE-0142,"Add property, metamorphic, golden, differential and mutation testing",proposed_new,open,,planned,P0/P1,quality-and-release,phase-09-quality-release-security,ISSUE-0074;ISSUE-0127;ISSUE-0132,ISSUE-0074;ISSUE-0127;ISSUE-0132,,,ISSUE-0169,,
ISSUE-0143,proposed,ETF_AI_Cockpit_New_Issues.csv,"Add visual E2E, load, soak, fault-injection and chaos test programmes",ISSUE-0143,"Add visual E2E, load, soak, fault-injection and chaos test programmes",proposed_new,open,,hardening_required,P0/P1,quality-and-release,phase-09-quality-release-security,ISSUE-0141,ISSUE-0141,,,,,
ISSUE-0144,proposed,ETF_AI_Cockpit_New_Issues.csv,"Harden secrets, parsers, local APIs, files and network access",ISSUE-0144,"Harden secrets, parsers, local APIs, files and network access",proposed_new,open,,integrated,P0,security-and-release,phase-09-quality-release-security,ISSUE-0076;ISSUE-0145,ISSUE-0076;ISSUE-0145,,,ISSUE-0146;ISSUE-0176,,
ISSUE-0145,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement software supply-chain, SBOM, vulnerability, signing and secure-update controls",ISSUE-0145,"Implement software supply-chain, SBOM, vulnerability, signing and secure-update controls",proposed_new,open,,integrated,P0,programme-governance,phase-09-quality-release-security,ISSUE-0079;ISSUE-0141,,,,ISSUE-0079;ISSUE-0141;ISSUE-0144;ISSUE-0176,ISSUE-0079;ISSUE-0141,
ISSUE-0146,proposed,ETF_AI_Cockpit_New_Issues.csv,"Implement encryption, privacy controls, backup and disaster recovery",ISSUE-0146,"Implement encryption, privacy controls, backup and disaster recovery",proposed_new,open,,integrated,P0/P1,security-and-release,phase-09-quality-release-security,ISSUE-0044;ISSUE-0144,ISSUE-0044;ISSUE-0144,,,ISSUE-0176,,
